InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country
536365,SKU_85409,REGENCY TEAPOT,2,9.66,12000,United Kingdom
536365,SKU_38659,ROSES REGENCY TEACUP AND SAUCER,1,1.67,12000,United Kingdom
536365,SKU_94290,GREEN REGENCY TEACUP AND SAUCER,4,4.57,12000,United Kingdom
536365,SKU_74486,REGENCY CAKESTAND 3 TIER,10,1.63,12000,United Kingdom
536365,SKU_49885,ASSORTED COLOUR BIRD ORNAMENT,4,11.45,12000,United Kingdom
536366,SKU_93482,SWEETHEART CERAMIC TRINKET BOX,3,11.2,12001,United Kingdom
536366,SKU_74486,REGENCY CAKESTAND 3 TIER,6,5.21,12001,United Kingdom
536366,SKU_64311,CERAMIC STRAWBERRY CAKE STAND,4,14.89,12001,United Kingdom
536367,SKU_15736,RED HANGING HEART T-LIGHT HOLDER,10,5.02,12002,United Kingdom
536367,SKU_53682,WHITE HANGING HEART T-LIGHT HOLDER,1,11.65,12002,United Kingdom
536367,SKU_11920,HEART OF WICKER SMALL,9,3.03,12002,United Kingdom
536368,SKU_85409,REGENCY TEAPOT,2,13.44,12003,United Kingdom
536368,SKU_02417,ALARM CLOCK BAKELIKE PINK,2,6.67,12003,United Kingdom
536368,SKU_77748,STRAWBERRY CERAMIC TRINKET BOX,8,10.31,12003,United Kingdom
536368,SKU_86048,SET OF 6 SPICE TINS PANTRY DESIGN,6,3.57,12003,United Kingdom
536369,SKU_86048,SET OF 6 SPICE TINS PANTRY DESIGN,3,7.84,12004,United Kingdom
536369,SKU_02417,ALARM CLOCK BAKELIKE PINK,5,15.35,12004,United Kingdom
536369,SKU_92886,ALARM CLOCK BAKELIKE RED,11,11.06,12004,United Kingdom
536370,SKU_10696,VINTAGE HEADS AND HORNS WALL ART,5,2.19,12005,United Kingdom
536370,SKU_26130,PAPER CHAIN KIT 50S CHRISTMAS,10,13.74,12005,United Kingdom
536370,SKU_64311,CERAMIC STRAWBERRY CAKE STAND,6,4.28,12005,United Kingdom
536371,SKU_29474,RETROSPOT GARDEN WATERING CAN,7,6.41,12006,United Kingdom
536371,SKU_68307,CHARLOTTE BAG PINK POLKADOT,3,8.51,12006,United Kingdom
536371,SKU_16078,CHARLOTTE BAG SUKI DESIGN,2,12.02,12006,United Kingdom
536371,SKU_64311,CERAMIC STRAWBERRY CAKE STAND,2,3.43,12006,United Kingdom
536372,SKU_93482,SWEETHEART CERAMIC TRINKET BOX,10,15.44,12007,United Kingdom
536372,SKU_64311,CERAMIC STRAWBERRY CAKE STAND,9,4.83,12007,United Kingdom
536373,SKU_10322,PAPER CHAIN KIT VINTAGE CHRISTMAS,8,1.3,12008,United Kingdom
536373,SKU_85409,REGENCY TEAPOT,12,13.73,12008,United Kingdom
536373,SKU_94290,GREEN REGENCY TEACUP AND SAUCER,5,15.1,12008,United Kingdom
536373,SKU_77748,STRAWBERRY CERAMIC TRINKET BOX,3,8.48,12008,United Kingdom
536374,SKU_38752,ALARM CLOCK BAKELIKE GREEN,9,14.34,12009,United Kingdom
536374,SKU_49885,ASSORTED COLOUR BIRD ORNAMENT,10,5.87,12009,United Kingdom
536374,SKU_92886,ALARM CLOCK BAKELIKE RED,1,2.84,12009,United Kingdom
536375,SKU_02417,ALARM CLOCK BAKELIKE PINK,10,14.74,12010,United Kingdom
536375,SKU_92886,ALARM CLOCK BAKELIKE RED,2,11.68,12010,United Kingdom
536376,SKU_51010,LUNCH BAG PINK POLKADOT,9,12.01,12011,United Kingdom
536376,SKU_29474,RETROSPOT GARDEN WATERING CAN,12,4.12,12011,United Kingdom
536376,SKU_80590,VICTORIAN GLASS HANGING T-LIGHT,5,6.94,12011,United Kingdom
536376,SKU_32339,HEART OF WICKER LARGE,11,10.51,12011,United Kingdom
536376,SKU_49885,ASSORTED COLOUR BIRD ORNAMENT,8,14.07,12011,United Kingdom
