TransactionID,Item
T0001,Mousepad
T0001,Laptop
T0001,Butter
T0001,Mouse
T0001,Bread
T0002,Beer
T0002,Diapers
T0002,Garlic
T0003,Mousepad
T0003,Laptop
T0003,Bananas
T0003,Mouse
T0003,Soda
T0003,Beer
T0003,Diapers
T0004,Oranges
T0005,Diapers
T0006,Tea
T0007,Milk
T0007,Sugar
T0007,Cheese
T0007,Coffee
T0008,Mousepad
T0009,Keyboard
T0009,Beer
T0009,Coffee
T0010,Mousepad
T0010,Olive Oil
T0010,Laptop
T0010,Mouse
T0010,Milk
T0010,Pasta
T0010,Garlic
T0011,Mousepad
T0011,Laptop
T0011,Butter
T0011,Olive Oil
T0011,Milk
T0011,Bread
T0011,Mouse
T0011,Pasta
T0011,Beer
T0011,Garlic
T0011,Coffee
T0011,Diapers
T0012,Apples
T0012,Garlic
T0012,Pasta
T0012,Olive Oil
T0013,Headphones
T0014,Coffee
T0014,Eggs
T0015,Mousepad
T0015,Laptop
T0015,Butter
T0015,Mouse
T0015,Milk
T0015,Bread
T0015,Oranges
T0016,Sugar
T0016,Olive Oil
T0016,Bananas
T0016,Pasta
T0016,Beer
T0016,Garlic
T0016,Coffee
T0016,Diapers
T0017,Sugar
T0017,Bread
T0017,Cookies
T0017,Beer
T0017,Coffee
T0017,Napkins
T0017,Diapers
T0018,Cereal
T0018,Butter
T0018,Milk
T0018,Bread
T0018,Diapers
T0019,Sugar
T0019,Olive Oil
T0019,Keyboard
T0019,Coffee
T0019,Apples
T0020,Cookies
T0020,Mousepad
T0020,Salsa
T0021,Mousepad
T0021,Sugar
T0021,Laptop
T0021,Olive Oil
T0021,Mouse
T0021,Soda
T0021,Pasta
T0021,Garlic
T0021,Beer
T0021,Coffee
T0021,Diapers
T0022,Sugar
T0022,Butter
T0022,Milk
T0022,Bread
T0022,Coffee
T0023,Milk
T0024,Tomato Sauce
T0024,Oranges
T0024,Sugar
T0024,Coffee
T0025,Mousepad
T0025,Olive Oil
T0025,Laptop
T0025,Headphones
T0025,Mouse
T0025,Bread
T0025,Yogurt
T0025,Pasta
T0025,Garlic
T0026,Coffee
T0026,Beer
T0026,Diapers
T0026,Garlic
T0027,Sugar
T0027,Olive Oil
T0027,Pasta
T0027,Garlic
T0027,Coffee
T0028,Bananas
T0028,Mouse
T0028,Mousepad
T0028,Laptop
T0029,Cereal
T0029,Sugar
T0029,Headphones
T0029,Coffee
T0029,Paper Towels
T0030,Mousepad
T0030,Laptop
T0030,Butter
T0030,Bananas
T0030,Mouse
T0030,Milk
T0030,Bread
T0030,Soda
T0030,Napkins
T0031,Mousepad
T0031,Laptop
T0031,Olive Oil
T0031,Mouse
T0031,Pasta
T0031,Beer
T0031,Garlic
T0031,Keyboard
T0031,Diapers
T0032,Mousepad
T0032,Laptop
T0032,Butter
T0032,Olive Oil
T0032,Mouse
T0032,Milk
T0032,Bread
T0032,Pasta
T0032,Garlic
T0032,Coffee
T0033,Mouse
T0033,Sugar
T0033,Coffee
T0034,Cereal
T0034,Oranges
T0035,Apples
T0036,Mousepad
T0036,Laptop
T0036,Butter
T0036,Mouse
T0036,Milk
T0036,Bread
T0037,Mousepad
