id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,fare_amount
id1000000,2,2016-01-26 19:15:59,2016-01-26 20:02:35,5,-73.776751,40.646173,-73.956329,40.785475,N,2796,84.97
id1000001,1,2016-01-19 00:55:07,2016-01-19 01:27:01,1,-73.979324,40.662341,-73.913362,40.825567,N,1914,56.15
id1000002,1,2016-04-01 03:09:27,2016-04-01 03:37:13,2,-73.873005,40.783029,-73.987132,40.76168,N,1666,37.43
id1000003,2,2016-05-29 18:33:29,2016-05-29 18:43:56,2,-73.973924,40.77341,-73.998232,40.790445,N,627,14.09
id1000004,1,2016-03-23 07:34:55,2016-03-23 07:43:57,5,-74.008013,40.735162,-74.01738,40.722595,N,542,10.25
id1000005,1,2016-06-02 16:23:54,2016-06-02 17:03:19,1,-73.933542,40.682804,-74.004313,40.680381,N,2365,32.65
id1000006,2,2016-02-09 13:39:39,2016-02-09 14:20:37,2,-73.777486,40.635371,-73.990884,40.784869,N,2458,93.52
id1000007,2,2016-02-21 06:14:05,2016-02-21 06:45:38,1,-73.777441,40.631499,-73.990158,40.733695,N,1893,78.29
id1000008,2,2016-03-21 09:16:52,2016-03-21 09:54:28,1,-74.01293,40.719228,-73.76558,40.622765,N,2256,88.52
id1000009,2,2016-01-30 01:37:16,2016-01-30 01:44:12,1,-73.999555,40.725849,-74.015516,40.734737,N,416,10.03
id1000010,1,2016-02-09 21:23:06,2016-02-09 21:33:13,2,-73.997261,40.74681,-73.998994,40.723517,N,607,14.04
id1000011,2,2016-03-19 00:31:57,2016-03-19 00:49:37,1,-73.950208,40.682213,-73.868448,40.783696,N,1060,38.29
id1000012,2,2016-06-06 05:51:56,2016-06-06 06:02:54,1,-73.954783,40.796585,-73.96804,40.761457,N,658,17.0
id1000013,2,2016-06-30 02:18:31,2016-06-30 02:48:34,1,-73.7771,40.641747,-74.038739,40.720567,N,1803,84.69
id1000014,2,2016-02-22 15:01:51,2016-02-22 15:27:58,1,-74.03281,40.68463,-73.991978,40.785406,N,1567,38.27
id1000015,2,2016-01-12 08:09:09,2016-01-12 08:30:22,1,-73.987464,40.771456,-73.996869,40.747721,N,1273,18.41
id1000016,1,2016-04-14 07:12:52,2016-04-14 07:46:55,1,-74.012849,40.739409,-74.013386,40.695745,N,2043,27.29
id1000017,1,2016-06-14 02:21:35,2016-06-14 02:29:30,2,-73.983041,40.768062,-74.010196,40.752963,N,475,13.56
id1000018,1,2016-03-04 22:33:58,2016-03-04 23:12:19,1,-73.79386,40.63438,-73.92704,40.781852,N,2301,85.78
id1000019,1,2016-03-29 09:59:47,2016-03-29 10:30:09,3,-73.98501,40.745599,-73.955401,40.784925,N,1822,27.46
id1000020,2,2016-05-20 02:05:39,2016-05-20 02:40:04,1,-73.782067,40.634089,-73.881116,40.782306,N,2065,77.28
id1000021,2,2016-03-25 15:18:57,2016-03-25 15:42:55,1,-73.975496,40.760061,-73.87786,40.788559,N,1438,32.74
id1000022,2,2016-05-16 04:24:16,2016-05-16 04:41:28,2,-74.03526,40.727656,-73.957467,40.761695,N,1032,26.01
id1000023,1,2016-01-21 02:33:33,2016-01-21 02:48:45,4,-73.864328,40.771584,-73.987507,40.732957,N,912,34.39
